Name,ID,Gender,Age,Country,Genres,Popularity,Followers,URI
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,female,18,US,"['art pop', 'pop']",86,89957369,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,mixed,8,US,['pop'],78,20578073,spotify:artist:69GGBxA162lTqCwzJG5jLp
Anuel AA,2R21vXR83lH98kGeO99Y66,male,27,PR,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",85,34229041,spotify:artist:2R21vXR83lH98kGeO99Y66
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,male,40,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",78,19298697,spotify:artist:1SupJlEpv7RS2tPNRaHViT
Maluma,1r4hJ1h58CWwUQe3MxPuau,male,26,CO,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,34757640,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,female,23,US,"['dance pop', 'pop']",78,32327077,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,female,24,GB,"['dance pop', 'pop', 'uk pop']",85,42549278,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,male,21,US,"['chicago rap', 'melodic rap', 'rap']",85,31741500,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,female,28,US,"['pop', 'post-teen pop']",81,47194902,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
Halsey,26VFTg2z8YR0cCuwLzESi2,female,25,US,"['electropop', 'etherpop', 'indie poptimism', 'pop']",79,21287602,spotify:artist:26VFTg2z8YR0cCuwLzESi2
Cardi B,4kYSro6naA4h99UJvo89HB,female,27,US,"['pop', 'rap']",77,22873770,spotify:artist:4kYSro6naA4h99UJvo89HB
Calvin Harris,7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",83,23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,female,37,,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,30495805,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,male,21,CA,"['canadian pop', 'pop', 'viral pop']",81,42978639,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,mixed,12,US,"['modern rock', 'pop', 'rock']",85,51594781,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,male,33,US,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",86,26350123,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Sam Smith,2wY79sveU1sp5g7SokKOiI,other,28,GB,"['pop', 'uk pop']",83,23538152,spotify:artist:2wY79sveU1sp5g7SokKOiI
Future,1RyvyyTE3xzB2ZywiAwp0i,male,36,,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",88,15561872,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Farruko,329e4yvIujISKGKz1BZZbO,male,29,PR,"['reggaeton', 'trap latino', 'urbano latino']",80,15882026,spotify:artist:329e4yvIujISKGKz1BZZbO
Maroon 5,04gDigrS5kc9YWfZHwBETP,mixed,18,US,['pop'],83,41996696,spotify:artist:04gDigrS5kc9YWfZHwBETP
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,female,32,,"['barbadian pop', 'pop', 'urban contemporary']",88,59152035,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,male,26,US,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",83,16381050,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
Kygo,23fqKkggKUBHNkbKtXEls4,male,28,NO,"['edm', 'pop', 'pop dance', 'tropical house']",75,8457568,spotify:artist:23fqKkggKUBHNkbKtXEls4
Marshmello,64KEffDW9EtZ1y2vBYgq8T,male,28,US,"['brostep', 'edm', 'pop', 'progressive electro house']",83,35223255,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
Quavo,0VRj0yCOv2FXJNP47XQnx5,male,29,US,"['atl hip hop', 'melodic rap', 'rap', 'trap']",77,7112408,spotify:artist:0VRj0yCOv2FXJNP47XQnx5
21 Savage,1URnnhqYAYcrqrcwql10ft,male,27,US,"['atl hip hop', 'hip hop', 'rap']",88,15909838,spotify:artist:1URnnhqYAYcrqrcwql10ft
DJ Snake,540vIaP2JwjQb9dm3aArA4,male,34,FR,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",76,8808981,spotify:artist:540vIaP2JwjQb9dm3aArA4
Young Thug,50co4Is1HCEo8bhOyUWKpn,male,28,US,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",82,9285032,spotify:artist:50co4Is1HCEo8bhOyUWKpn
Sia,5WUlDfRSoLAfcVSX1WnrxN,female,44,AU,"['australian dance', 'australian pop', 'pop']",84,27476664,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
Sech,77ziqFxp5gaInVrF2lj4ht,male,26,PA,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",77,12113101,spotify:artist:77ziqFxp5gaInVrF2lj4ht
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,male,52,FR,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,26584415,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,female,30,US,"['dance pop', 'pop']",78,8772065,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,male,0,US,"['melodic rap', 'rap', 'trap']",78,1926902,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,male,35,US,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",78,4861461,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq
Eminem,7dGJo4pcD2V6oG8kP0tJRR,male,47,,"['detroit hip hop', 'hip hop', 'rap']",89,79840061,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
Major Lazer,738wLrAtLtCtFOLvQBXOXp,mixed,12,,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",74,6347918,spotify:artist:738wLrAtLtCtFOLvQBXOXp
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,mixed,23,GB,"['permanent wave', 'pop']",86,48792512,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,male,34,US,"['dance pop', 'pop']",86,52946753,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Migos,6oMuImdp5ZcFhWP0ESe6mG,mixed,12,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",75,13704065,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
Avicii,1vCWHaC5f2uS3yhpwWbIA6,male,28,SE,"['dance pop', 'edm', 'pop', 'pop dance']",78,23305127,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,male,25,CO,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",78,22817340,spotify:artist:07YUOmWljBTXwIseAUd9TW
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,male,0,CO,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",80,13433733,spotify:artist:0tmwSHipWxN12fsoLcFU3B
Taylor Swift,06HL4z0CvFAxyc27GXpf02,female,30,US,['pop'],100,95859165,spotify:artist:06HL4z0CvFAxyc27GXpf02
KAROL G,790FomKkXshlbRYZFtlgla,female,29,CO,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",88,42614177,spotify:artist:790FomKkXshlbRYZFtlgla
Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,male,40,PR,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",77,6966304,spotify:artist:1wZtkThiXbVNtj6hee6dz9
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,,0,,['pop'],77,11538588,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,male,42,PR,"['latin pop', 'puerto rican pop']",71,11163849,spotify:artist:4V8Sr092TqfHkfAA5fXXqG
DaBaby,4r63FhuTkUYltbVAg5TQnk,male,28,US,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",77,11474237,spotify:artist:4r63FhuTkUYltbVAg5TQnk
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,male,43,,"['chicago rap', 'hip hop', 'rap']",90,22582692,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Lil Baby,5f7VJjfbwm532GiveGC0ZK,male,25,,"['atl hip hop', 'atl trap', 'rap', 'trap']",85,16126374,spotify:artist:5f7VJjfbwm532GiveGC0ZK
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,female,22,SE,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",75,10492535,spotify:artist:1Xylc3o4UrD53lo9CvFvVg
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,male,28,US,"['pop', 'viral pop']",79,22013348,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,male,35,US,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85,22235668,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
ZEDDY WILL,1alf4P7GDe5aNpALBzWIGf,male,30,DE,[],41,16145,spotify:artist:1alf4P7GDe5aNpALBzWIGf
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,male,30,US,"['dance pop', 'pop']",76,12044521,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
Clean Bandit,6MDME20pz9RveH9rEXvrOM,mixed,12,GB,"['pop', 'uk dance', 'uk funky']",71,5387305,spotify:artist:6MDME20pz9RveH9rEXvrOM
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,male,33,PR,"['reggaeton', 'trap argentino', 'trap latino', 'urbano latino']",75,2458569,spotify:artist:1pQWsZQehhS4wavwh7Fnxd
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,male,24,NL,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",73,15781508,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
Zion & Lennox,21451j1KhjAiaYKflxBjr1,mixed,17,PR,"['reggaeton', 'urbano latino']",74,7705367,spotify:artist:21451j1KhjAiaYKflxBjr1
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,female,27,US,"['pop', 'post-teen pop']",76,26513961,spotify:artist:6S2OmqARrzebs0tKUEyXyp
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,male,0,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",79,3376634,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
Anita,56OnRKCroIqOuaxbEnstY5,female,27,BR,['persian pop'],27,29632,spotify:artist:56OnRKCroIqOuaxbEnstY5
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,female,34,US,"['art pop', 'dance pop', 'pop']",82,28787306,spotify:artist:1HY2Jd0NmPuamShAr6KMms
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,male,27,GB,"['pop', 'uk pop']",74,22977021,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,male,21,US,"['melodic rap', 'rap', 'trap']",75,10110947,spotify:artist:757aE44tKEUQEqRuT6GnEB
Lil Wayne,55Aa2cqylxrFIXC767Z865,male,37,,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",84,14364704,spotify:artist:55Aa2cqylxrFIXC767Z865
Darell,1TtXnWcUs0FCkaZDPGYHdf,male,0,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",76,4171785,spotify:artist:1TtXnWcUs0FCkaZDPGYHdf
Marília Mendonça,1yR65psqiazQpeM79CcGh8,female,25,BR,"['arrocha', 'sertanejo', 'sertanejo universitario']",78,33794183,spotify:artist:1yR65psqiazQpeM79CcGh8
Lauv,5JZ7CnR6gTvEMKX4g70Amv,male,25,US,['pop'],74,6098653,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,male,30,GB,"['pop', 'pop dance', 'tropical house', 'uk dance']",72,3849840,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
Tyga,5LHRHt1k9lMyONurDHEdrp,male,30,US,"['hip hop', 'pop rap', 'rap', 'trap']",77,6958506,spotify:artist:5LHRHt1k9lMyONurDHEdrp
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,female,33,,"['indietronica', 'metropopolis', 'pop', 'uk pop']",77,12447885,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
Queen,1dfeR4HaWDbWqFHLkxsg1d,mixed,50,GB,"['classic rock', 'glam rock', 'rock']",82,49174063,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,male,23,GB,"['pop', 'uk pop']",78,12030538,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
Dalex,0KPX4Ucy9dk82uj4GpKesn,male,29,PR,"['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']",72,4911908,spotify:artist:0KPX4Ucy9dk82uj4GpKesn
MØ,0bdfiayQAKewqEvaU6rXCv,female,31,DK,"['dance pop', 'danish pop', 'electropop', 'pop dance']",68,1458475,spotify:artist:0bdfiayQAKewqEvaU6rXCv
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,female,24,CA,"['canadian contemporary r&b', 'canadian pop', 'pop']",72,11936770,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,mixed,11,US,"['modern rock', 'pop', 'pov: indie', 'rock']",78,24217691,spotify:artist:3YQKmKGau1PzlVlkL1iodx
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,male,31,US,"['r&b', 'rap']",86,21064273,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,male,23,US,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",79,10027675,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,male,24,US,['emo rap'],67,6974823,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,male,40,,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,5202813,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo
Becky G,4obzFoKoKRHIphyHzJ35G3,female,23,US,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",77,14374317,spotify:artist:4obzFoKoKRHIphyHzJ35G3
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,male,22,NO,['electro house'],79,39951033,spotify:artist:7vk5e3vY1uw9plTHJAMwjN
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,female,33,DO,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']",70,9798674,spotify:artist:1GDbiv3spRmZ1XdM1jQbT7
Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,male,0,AR,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino']",74,22907149,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z
G-Eazy,02kJSzxNuaWGqwubyUba0Z,male,31,US,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",73,5234548,spotify:artist:02kJSzxNuaWGqwubyUba0Z
Katy Perry,6jJ0s89eD6GaHleKKya26X,female,35,US,['pop'],82,30972097,spotify:artist:6jJ0s89eD6GaHleKKya26X
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,male,33,DE,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",75,3110808,spotify:artist:3t5xRXzsuZmMDkQzgOX35S
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,male,21,,['lgbtq+ hip hop'],74,12492374,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,male,27,,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",71,5970418,spotify:artist:1anyVhU62p31KFi8MEzkbf
Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,male,25,DE,['german hip hop'],66,4395023,spotify:artist:4WZGDpNwrC0vNQyl9QzF7d
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,male,30,PR,"['reggaeton', 'trap latino', 'urbano latino']",75,4362463,spotify:artist:14zUHaJZo1mnYtn6IBRaRP
Logic,4xRYI6VqpkE3UwrDrAZL8L,male,30,US,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",73,5993652,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
Harry Styles,6KImCVD70vtIoJWnq6nGn3,male,26,GB,['pop'],83,30523224,spotify:artist:6KImCVD70vtIoJWnq6nGn3
Piso 21,4bw2Am3p9ji3mYsXNXtQcd,mixed,0,CO,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",74,9315006,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd
Tones And I,2NjfBq1NflQcKSeiDooVjY,female,0,AU,['australian pop'],67,3018481,spotify:artist:2NjfBq1NflQcKSeiDooVjY
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,male,24,US,"['melodic rap', 'rap', 'trap']",78,7900124,spotify:artist:31W5EY0aAly4Qieq6OFu6I
Diplo,5fMUXHkw8R8eOP2RNVYEZX,male,41,,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",75,2599284,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX
James Arthur,4IWBUUAFIplrNtaOHcJPRM,male,32,GB,"['pop', 'talent show', 'uk pop']",80,14765879,spotify:artist:4IWBUUAFIplrNtaOHcJPRM
Rita Ora,5CCwRZC6euC8Odo6y9X8jr,female,29,GB,"['dance pop', 'pop', 'uk pop']",70,8393377,spotify:artist:5CCwRZC6euC8Odo6y9X8jr
Big Sean,0c173mlxpT3dSFRgMO8XPh,male,32,,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'trap']",74,11230322,spotify:artist:0c173mlxpT3dSFRgMO8XPh
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,male,44,US,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",74,10823060,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,male,30,US,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",69,4598982,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,mixed,27,FR,"['electro', 'filter house', 'rock']",79,9765143,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,male,27,US,"['atl hip hop', 'melodic rap', 'rap', 'trap']",83,6377463,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
Myke Towers,7iK8PXO48WeuP03g8YR51W,male,26,PR,"['reggaeton', 'trap latino', 'urbano latino']",85,13527025,spotify:artist:7iK8PXO48WeuP03g8YR51W
French Montana,6vXTefBL93Dj5IqAWq6OTv,male,35,,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72,5283619,spotify:artist:6vXTefBL93Dj5IqAWq6OTv
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,male,31,US,"['east coast hip hop', 'hip hop', 'rap', 'trap']",80,13232770,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
SZA,7tYKF4w9nC0nq9CsPZTHyP,female,29,US,"['pop', 'r&b', 'rap']",87,16328700,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
Arcángel,4SsVbpTthjScTS7U2hmr1X,male,34,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",82,12868016,spotify:artist:4SsVbpTthjScTS7U2hmr1X
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,mixed,9,AU,"['boy band', 'pop']",75,9825640,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,mixed,10,GB,"['metropopolis', 'modern rock', 'pop']",72,5522452,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc
Shakira,0EmeFodog0BfCgMzAIvKQp,female,43,CO,"['colombian pop', 'dance pop', 'latin pop', 'pop']",84,32459109,spotify:artist:0EmeFodog0BfCgMzAIvKQp
Wizkid,3tVQdUvClmAT7URs9V3rsp,male,30,,"['afrobeats', 'afropop', 'azonto', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",74,4621572,spotify:artist:3tVQdUvClmAT7URs9V3rsp
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,female,23,US,['pop'],67,8937662,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F
Jorge Celedón,7rNbdH4pgrnwguvzxhA2Ek,mixed,15,BR,"['vallenato', 'vallenato moderno']",58,1876131,spotify:artist:7rNbdH4pgrnwguvzxhA2Ek
Reik,0vR2qb8m9WHeZ5ByCbimq2,mixed,17,MX,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton', 'urbano latino']",76,8694277,spotify:artist:0vR2qb8m9WHeZ5ByCbimq2
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,male,43,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",76,7470549,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,male,0,PR,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",86,19801456,spotify:artist:1mcTU81TzQhprhouKaTkpq
Cheat Codes,7DMveApC7UnC2NPfPvlHSU,mixed,6,,"['edm', 'pop', 'pop dance']",64,2189857,spotify:artist:7DMveApC7UnC2NPfPvlHSU
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,male,47,US,"['dance pop', 'pop']",76,4346437,spotify:artist:2RdwBSPQiwcmiDo9kixcl8
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,female,26,US,['pop'],77,6310299,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
DJ Luian,64aJYyrXljOodnUG6jvhRD,male,30,PR,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",75,2151143,spotify:artist:64aJYyrXljOodnUG6jvhRD
Jess Glynne,4ScCswdRlyA23odg9thgIO,female,30,GB,"['dance pop', 'pop', 'uk pop']",70,3052402,spotify:artist:4ScCswdRlyA23odg9thgIO
Sean Paul,3Isy6kedDrgPYoTS1dazA9,male,47,JM,"['dance pop', 'dancehall', 'pop', 'pop rap']",78,4582173,spotify:artist:3Isy6kedDrgPYoTS1dazA9
Kyla,77DAFfvm3O9zT5dIoG0eIO,female,39,PH,['uk funky'],67,16175,spotify:artist:77DAFfvm3O9zT5dIoG0eIO
Camilo,28gNT5KBp7IjEOQoevXf9N,male,26,CO,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']",76,18536121,spotify:artist:28gNT5KBp7IjEOQoevXf9N
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,female,26,US,['pop'],72,5113480,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m
Seeb,5iNrZmtVMtYev5M9yoWpEq,mixed,5,,['pop dance'],65,359210,spotify:artist:5iNrZmtVMtYev5M9yoWpEq
Adele,4dpARuHxo51G3z768sgnrY,female,32,GB,"['british soul', 'pop', 'pop soul', 'uk pop']",83,53224523,spotify:artist:4dpARuHxo51G3z768sgnrY
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,mixed,9,BR,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",77,19424584,spotify:artist:487N2T9nIPEHrlTZLL3SQs
Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,mixed,10,US,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",71,5445623,spotify:artist:3b8QkneNDz4JHKKKlLgYZg
